"id_case","species","exposed"
557,"Domestic dog",0
558,"Domestic dog",0
559,"Domestic dog",0
560,"Domestic dog",0
561,"Domestic dog",0
6,"Domestic dog",0
7,"Livestock: Cow",0
8,"Livestock: Cow",0
11,"Domestic dog",0
12,"Domestic dog",0
15,"Domestic dog",0
16,"Domestic dog",0
17,"Domestic dog",0
18,"Domestic dog",0
22,"Livestock: Cow",0
23,"Domestic dog",3
24,"Livestock: Cow",0
25,"Livestock: Cow",0
27,"Domestic dog",1
32,"Domestic dog",1
33,"Domestic dog",1
34,"Domestic dog",1
38,"Domestic dog",1
39,"Domestic dog",3
40,"Domestic dog",2
47,"Domestic dog",1
56,"Domestic dog",1
60,"Domestic dog",1
63,"Domestic dog",1
68,"Domestic dog",1
69,"Domestic dog",2
75,"Domestic dog",1
79,"Domestic dog",1
83,"Domestic dog",0
93,"Domestic dog",5
94,"Domestic dog",2
96,"Domestic dog",1
97,"Domestic dog",1
98,"Domestic dog",4
102,"Domestic dog",3
106,"Domestic dog",2
109,"Domestic dog",1
113,"Domestic dog",1
115,"Domestic dog",1
121,"Domestic dog",1
122,"Domestic dog",4
134,"Domestic dog",0
135,"Domestic dog",0
136,"Domestic dog",0
137,"Domestic dog",0
138,"Domestic dog",0
139,"Domestic dog",0
140,"Domestic dog",0
141,"Domestic dog",0
142,"Domestic dog",0
143,"Domestic dog",0
144,"Domestic dog",0
145,"Domestic dog",0
150,"Domestic dog",2
151,"Domestic dog",0
152,"Domestic dog",0
153,"Domestic dog",0
154,"Domestic dog",0
155,"Domestic dog",0
156,"Domestic dog",0
157,"Domestic dog",0
158,"Livestock: Goat",0
159,"Livestock: Goat",0
160,"Domestic dog",0
161,"Domestic dog",0
162,"Domestic dog",1
165,"Domestic dog",1
166,"Domestic dog",0
167,"Domestic dog",0
168,"Domestic dog",0
170,"Domestic dog",1
172,"Domestic dog",1
173,"Domestic dog",1
174,"Domestic dog",1
176,"Domestic dog",1
178,"Domestic dog",1
181,"Domestic dog",1
185,"Domestic dog",3
190,"Domestic dog",0
191,"Domestic dog",0
343,"Domestic dog",1
342,"Domestic dog",2
347,"Domestic dog",1
348,"Domestic dog",2
355,"Domestic dog",2
354,"Domestic dog",0
350,"Domestic dog",0
358,"Livestock: Cow",0
357,"Domestic dog",4
356,"Domestic dog",3
361,"Domestic dog",1
360,"Domestic dog",0
366,"Domestic dog",0
362,"Domestic dog",0
363,"Domestic dog",0
364,"Domestic dog",0
365,"Domestic dog",4
370,"Domestic dog",0
367,"Domestic dog",0
372,"Domestic dog",0
371,"Domestic dog",3
369,"Domestic dog",0
373,"Domestic dog",0
375,"Domestic dog",1
349,"Domestic dog",3
376,"Livestock: Cow",0
377,"Domestic dog",0
378,"Domestic dog",0
379,"Domestic dog",0
381,"Domestic dog",0
383,"Domestic dog",0
382,"Domestic dog",0
380,"Domestic dog",0
368,"Domestic dog",0
499,"Domestic dog",0
498,"Domestic dog",4
495,"Domestic dog",8
496,"Domestic dog",3
494,"Domestic dog",1
503,"Domestic dog",2
512,"Domestic dog",1
504,"Domestic dog",3
508,"Domestic dog",3
501,"Domestic dog",1
500,"Domestic dog",2
502,"Domestic dog",1
507,"Domestic dog",1
497,"Domestic dog",1
510,"Domestic dog",4
570,"Domestic dog",2
505,"Domestic dog",3
506,"Domestic dog",2
493,"Domestic dog",5
519,"Domestic dog",1
511,"Livestock: Cow",0
513,"Livestock: Cow",0
516,"Domestic dog",2
518,"Domestic dog",13
509,"Domestic dog",0
520,"Domestic dog",1
515,"Domestic dog",2
514,"Domestic dog",0
521,"Domestic dog",1
517,"Livestock: Goat",0
525,"Domestic dog",4
529,"Domestic dog",2
528,"Domestic dog",0
527,"Domestic dog",4
526,"Domestic dog",5
571,"Domestic dog",0
550,"Domestic dog",2
552,"Domestic dog",1
551,"Domestic dog",1
554,"Domestic dog",1
555,"Domestic dog",1
553,"Domestic dog",2
602,"Domestic dog",1
603,"Domestic dog",1
556,"Domestic dog",2
604,"Domestic dog",1
605,"Domestic dog",3
606,"Domestic dog",1
562,"Domestic dog",1
563,"Domestic dog",1
564,"Domestic dog",1
565,"Domestic dog",1
567,"Domestic dog",1
568,"Domestic dog",1
569,"Domestic dog",0
601,"Domestic dog",1
607,"Domestic dog",1
572,"Domestic dog",1
573,"Domestic dog",1
579,"Domestic dog",1
578,"Domestic dog",1
576,"Domestic dog",1
577,"Domestic dog",1
582,"Domestic dog",1
584,"Domestic dog",11
583,"Domestic dog",1
581,"Domestic dog",1
585,"Domestic dog",2
586,"Domestic dog",2
588,"Domestic dog",2
587,"Domestic dog",1
597,"Domestic dog",1
595,"Domestic dog",2
596,"Domestic dog",5
593,"Domestic dog",1
594,"Domestic dog",1
591,"Domestic dog",1
592,"Domestic dog",1
590,"Domestic dog",3
589,"Domestic dog",3
598,"Livestock: Cow",0
600,"Domestic dog",1
41,"Domestic dog",1
